CardId,SourcePool
00213326,Card02
01639384,Card01
01948619,Card02
02129638,Card01
02530830,Card01
06853254,Card01
08165596,Card01
08240199,Card01
08491308,Card03
08949584,Card02
09411399,Card02
09726840,Card03
10186633,Card02
12421694,Card03
14558127,Card01
14558128,Card03
17217034,Card03
17955766,Card02
18963306,Card01
19222426,Card02
19324993,Card02
20357457,Card03
21143940,Card02
22908820,Card02
23204029,Card02
23434538,Card01
24010609,Card03
24094653,Card02
24224830,Card02
24299458,Card02
25072579,Card03
25311006,Card03
26077389,Card03
27780618,Card02
32807848,Card03
32828466,Card02
33698022,Card01
34433770,Card03
35261759,Card01
35269904,Card03
37351133,Card03
38120068,Card01
38517737,Card01
39030163,Card01
39701395,Card01
40044918,Card02
40908371,Card01
41620959,Card01
42141493,Card02
45467446,Card01
45906428,Card02
48800175,Card01
49299410,Card03
50005218,Card03
50720316,Card02
50954680,Card01
55063751,Card01
55171412,Card02
56733747,Card02
56741506,Card03
58004362,Card02
58481572,Card02
59822133,Card01
60461804,Card02
63013339,Card03
63060238,Card02
63166096,Card03
63288574,Card03
63356631,Card01
63767246,Card01
64332231,Card01
65681983,Card02
66011101,Card02
70368879,Card03
71039903,Card01
71587526,Card01
73628505,Card03
73642296,Card02
75047173,Card02
75147529,Card03
76072561,Card03
79814787,Card01
81439173,Card02
83838727,Card03
83994433,Card01
89631139,Card01
89943723,Card02
90673289,Card03
93347961,Card02
94145021,Card02
94145022,Card03
97268402,Card01
98338152,Card03
98462037,Card03
