Table,Id,Name,ResourceKey,PriceGold,StartsAt,EndsAt,SortOrder,IsEnabled
Avatar,0,头像00,a_00,200,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,0,True
Avatar,1,头像01,a_01,400,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,1,True
Avatar,2,头像02,a_02,600,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,2,True
Avatar,3,头像03,a_03,800,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,3,True
Avatar,4,头像04,a_04,1000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,4,True
Avatar,5,头像05,a_05,1200,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,5,True
Avatar,6,头像06,a_06,1400,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,6,True
Avatar,7,头像07,a_07,1600,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,7,True
Avatar,8,头像08,a_08,1800,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,8,True
Avatar,9,头像09,a_09,2000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,9,True
Avatar,10,头像10,a_10,2200,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,10,True
Avatar,11,头像11,a_11,2400,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,11,True
Avatar,12,头像12,a_12,2600,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,12,True
Avatar,13,头像13,a_13,2800,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,13,True
Wallpaper,0,壁纸00,c_00,500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,0,True
Wallpaper,1,壁纸01,c_01,1000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,1,True
Wallpaper,2,壁纸02,c_02,1500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,2,True
Wallpaper,3,壁纸03,c_03,2000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,3,True
Wallpaper,4,壁纸04,c_04,2500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,4,True
Wallpaper,5,壁纸05,c_05,3000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,5,True
Wallpaper,6,壁纸06,c_06,3500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,6,True
Wallpaper,7,壁纸07,c_07,4000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,7,True
Wallpaper,8,壁纸08,c_08,4500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,8,True
Wallpaper,9,壁纸09,c_09,5000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,9,True
Wallpaper,10,壁纸10,c_10,5500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,10,True
CardPack,1,卡包00,c_00,100,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,0,True
CardPack,2,卡包01,c_01,200,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,1,True
CardPack,3,卡包02,c_02,300,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,2,True
CardPack,4,卡包03,c_03,400,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,3,True
CardPack,5,卡包04,c_04,500,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,4,True
CardPack,6,卡包05,c_05,600,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,5,True
CardPack,7,卡包06,c_06,700,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,6,True
CardPack,8,卡包07,c_07,800,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,7,True
CardPack,9,卡包08,c_08,900,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,8,True
CardPack,10,卡包09,c_09,1000,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,9,True
CardPack,11,卡包10,c_10,1100,2026-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,10,True
