cardId,kind,frame,level,attribute,race,atk,def,flags,spellTrapType
00213326,2,8,0,0,0,0,0,0,1
01639384,1,6,8,1,1,2800,1800,1,0
01948619,1,7,2,1,1,1900,0,1,0
02129638,1,4,10,1,14,3000,2500,1,0
02530830,1,6,9,1,14,3200,2800,1,0
06853254,2,8,0,0,0,0,0,0,1
08165596,1,6,8,1,1,2500,3000,1,0
08240199,1,2,1,1,2,0,1500,3,0
08491308,1,7,1,5,6,1500,0,1,0
08949584,2,8,0,0,0,0,0,0,1
09411399,1,2,6,2,1,800,800,1,0
09726840,2,8,0,0,0,0,0,0,2
10186633,2,8,0,0,0,0,0,0,1
12421694,1,7,1,6,6,1500,0,1,0
14558127,1,2,3,3,5,0,1800,3,0
14558128,1,2,3,3,5,0,1800,3,0
17217034,1,7,2,1,6,1500,0,1,0
17955766,1,2,3,4,1,600,800,1,0
18963306,1,6,8,1,14,3000,2500,1,0
19222426,1,4,6,1,1,2400,1500,1,0
19324993,1,7,2,2,4,1700,0,1,0
20357457,1,2,1,1,6,500,1500,1,0
21143940,2,8,0,0,0,0,0,0,2
22908820,1,4,7,1,1,2500,1200,1,0
23204029,1,4,9,2,1,3000,2600,1,0
23434538,1,2,2,6,12,500,200,1,0
24010609,2,8,0,0,0,0,0,0,3
24094653,2,8,0,0,0,0,0,0,1
24224830,2,8,0,0,0,0,0,0,2
24299458,2,8,0,0,0,0,0,0,2
25072579,1,7,1,2,6,1500,0,1,0
25311006,2,8,0,0,0,0,0,0,1
26077389,1,2,4,2,1,1500,1500,1,0
27780618,1,2,4,2,1,1000,1200,1,0
32807848,2,8,0,0,0,0,0,0,1
32828466,1,4,10,1,1,2500,2100,1,0
33698022,1,5,7,1,14,2400,1800,1,0
34433770,2,8,0,0,0,0,0,0,2
35261759,2,8,0,0,0,0,0,0,1
35269904,2,8,0,0,0,0,0,0,1
37351133,1,2,4,1,1,1500,1500,1,0
38120068,2,8,0,0,0,0,0,0,1
38517737,1,2,8,1,14,3000,2500,1,0
39030163,1,6,8,1,14,4000,3500,1,0
39701395,2,8,0,0,0,0,0,0,1
40044918,1,2,4,5,1,1800,300,1,0
40908371,1,5,9,1,14,2500,3000,1,0
41620959,2,8,0,0,0,0,0,0,1
42141493,1,2,4,5,10,100,600,1,0
45467446,1,2,8,1,14,2500,2000,1,0
45906428,2,8,0,0,0,0,0,0,1
48800175,2,8,0,0,0,0,0,0,1
49299410,3,9,0,0,0,0,0,0,1
50005218,2,8,0,0,0,0,0,0,5
50720316,1,2,4,2,1,1000,1500,1,0
50954680,1,5,8,5,14,3000,2500,1,0
55063751,1,2,8,4,7,2200,3000,1,0
55171412,1,4,7,4,1,2500,2000,1,0
56733747,1,4,8,1,1,3100,2500,1,0
56741506,1,7,3,2,6,2500,0,1,0
58004362,1,7,2,2,1,1600,0,1,0
58481572,1,4,6,2,1,2400,1800,1,0
59822133,1,5,9,1,14,2500,3000,1,0
60461804,1,4,8,2,1,2500,2100,1,0
63013339,1,7,2,2,6,1500,0,1,0
63060238,1,2,4,3,1,1200,1800,1,0
63166096,2,8,0,0,0,0,0,0,1
63288574,1,7,1,3,6,1500,0,1,0
63356631,3,9,0,0,0,0,0,0,1
63767246,1,6,8,1,14,3000,2500,1,0
64332231,1,6,8,1,14,3000,2400,1,0
65681983,2,8,0,0,0,0,0,0,2
66011101,1,6,4,3,4,1200,1200,1,0
70368879,2,8,0,0,0,0,0,0,1
71039903,1,2,1,1,14,600,500,3,0
71587526,3,9,0,0,0,0,0,0,1
73628505,2,8,0,0,0,0,0,0,1
73642296,1,2,3,6,5,0,1800,3,0
75047173,3,9,0,0,0,0,0,0,1
75147529,1,7,2,2,6,1500,0,1,0
76072561,1,7,2,1,6,2000,0,1,0
79814787,1,2,1,1,14,300,250,3,0
81439173,2,8,0,0,0,0,0,0,1
83838727,2,8,0,0,0,0,0,0,1
83994433,1,5,8,1,14,2500,2000,1,0
89631139,1,1,8,1,14,3000,2500,0,0
89943723,1,1,7,1,1,2500,2000,0,0
90673289,1,7,1,4,6,1500,0,1,0
93347961,1,4,8,5,1,2100,1200,1,0
94145021,1,2,1,5,2,0,0,1,0
94145022,1,2,1,5,2,0,0,1,0
97268402,1,2,1,1,2,0,0,3,0
98338152,2,8,0,0,0,0,0,0,2
98462037,1,7,2,2,6,1500,0,1,0
